example_id                                                              | status  | run_time             |
./spec/models/game_spec.rb[1:2:3:1]                                     | pending | 0.00004 seconds      |
./spec/models/game_spec.rb[1:2:3:2]                                     | pending | 0.00001 seconds      |
./spec/models/game_spec.rb[1:3:1]                                       | passed  | 0.04904 seconds      |
./spec/models/game_spec.rb[1:3:2]                                       | passed  | 0.04592 seconds      |
./spec/models/game_spec.rb[1:3:3]                                       | passed  | 0.05004 seconds      |
./spec/models/game_spec.rb[1:3:4]                                       | passed  | 0.04897 seconds      |
./spec/models/game_spec.rb[1:3:5]                                       | passed  | 0.04756 seconds      |
./spec/models/game_spec.rb[1:3:6]                                       | passed  | 0.0423 seconds       |
./spec/models/game_spec.rb[1:3:7]                                       | passed  | 0.03968 seconds      |
./spec/models/game_spec.rb[1:4:1:1:1:1]                                 | passed  | 0.05308 seconds      |
./spec/models/game_spec.rb[1:4:1:1:2]                                   | passed  | 0.00466 seconds      |
./spec/models/game_spec.rb[1:4:1:1:3]                                   | passed  | 0.05177 seconds      |
./spec/models/game_spec.rb[1:4:1:1:4]                                   | passed  | 0.04488 seconds      |
./spec/models/game_spec.rb[1:4:1:2:1:1]                                 | passed  | 0.05408 seconds      |
./spec/models/game_spec.rb[1:4:1:2:2]                                   | passed  | 0.00352 seconds      |
./spec/models/game_spec.rb[1:4:1:2:3]                                   | passed  | 0.04542 seconds      |
./spec/models/game_spec.rb[1:4:1:2:4]                                   | passed  | 0.04727 seconds      |
./spec/models/game_spec.rb[1:4:2:1:1]                                   | passed  | 0.09922 seconds      |
./spec/models/game_spec.rb[1:4:2:1:2]                                   | passed  | 0.00244 seconds      |
./spec/models/game_spec.rb[1:4:2:1:3]                                   | passed  | 0.05742 seconds      |
./spec/models/game_spec.rb[1:4:2:1:4]                                   | passed  | 0.04893 seconds      |
./spec/models/game_spec.rb[1:4:2:2:1]                                   | passed  | 0.06996 seconds      |
./spec/models/game_spec.rb[1:4:2:2:2]                                   | passed  | 0.00195 seconds      |
./spec/models/game_spec.rb[1:4:2:2:3]                                   | passed  | 0.05056 seconds      |
./spec/models/game_spec.rb[1:4:2:2:4]                                   | passed  | 0.04779 seconds      |
